question,answer,question_sw,answer_sw
Is it okay to go swimming when I am on my period if I am using a tampon or a menstrual cup?,"It is better to avoid heavy exercise like swimming when you are on your period. Also, swimming in unclean water during menstruation can lead to infections.",,
My first period after experiencing a miscarriage is unusually painful and extreme. Is this normal?,"A heavy, prolonged and painful period is expected after a miscarriage or after giving birth. This is very normal.",,
Will my period be longer or shorter if I am on birth control?,"The birth control pills have hormones that will regularize the period to 28 days. So, if you are taking birth control pills, the period is expected in 28-30 days from the 1st day of the previous cycle.",,
Can psychiatric medication such as anti-depressants affect my menstrual cycle?,"Yes, they will. Psychiatric pills act on the hypothalamus of the brain, which also regulates female hormones.",,
What is PCOD?,"Poly-Cystic-Ovarian Disease. In simple words, the ovary has a lot of eggs - Each month, 5-6 start becoming mature and form their respective fluid-filled bubbles (cysts) and 1-2 are released as an ovum or ova - the rest are reabsorbed. Sometimes, they are not reabsorbed and continue to release hormones causing hormonal imbalance which leads to the symptoms of PCOD like obesity, menstrual irregularity, hair growth on hair and body, etc.",,
Is PCOD the same as PCOS?,"Yes, technically they are the same.",,
"Often, I stain my bed when I fall asleep while I am menstruating. How can I make this stop?","At night, as one is asleep, one does not realize the amount of bleeding - this may lead to staining. Changing the pad and using a fresh one when preparing to go to bed is advisable. If this also does not help, get a pad with a higher soaking capability.",,
Will I start menstruating immediately after giving birth?,"During pregnancy, there are a lot of hormones created in the body. For these to come back to normal, it can take up to 6 weeks. So, expect your period to be at least 6 weeks from the date of giving birth. In a lot of women, the menstruation cycle will not start till the child is breastfeeding.",,
My periods haven't come for a few months. Is that normal?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
My wife's period has not come in a few months. Is this normal?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
Has my daughter's period been regular over the past few months?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
Is it abnormal for a woman to miss periods for a few months?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
"I have not been able to get periods for the last few months, is this normal?","No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
"My regular periods have been absent for some weeks, is this usual?","No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
"It's been many months since I had my last periods, is this okay?","No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
I haven't seen my periods in four months now and it is making me anxious. Is this a normal situation?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
I did not get my periods for more than three months now. Is there something wrong with me?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
It's been over five months since I started having regular periods. Is it something I should be worried about?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
I haven't had my periods for some time now. Is this common?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
I haven't gotten my periods in a few months. Is this expected?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
Is it normal to not have periods for a few months?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",,
What are the different reasons why I might not be getting my period?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
What could be the reasons why my wife is not getting her period?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
What could be causing my daughter to not have her period?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
What might be causing my sister to not get her period?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
"In my village, is there any other reason other than being pregnant why I might not get my periods?","There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
"I haven't got my periods for last few days, is there anything else other than pregnancy that can cause this?","There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
Could there be any other medical reason apart from pregnancy causing me not to get my periods?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
A few months ago my period was regular but now it is missing. What is causing this situation?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
"I have always heard that periods are always regular for women but for the past few months, I have not got my period. What could be the problem?","There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
I am trying to conceive but my periods have not come for the past two months. Is this normal or could there be something wrong?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
What could be the reason why I am not getting my periods?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
What are the possible reasons why I have not been getting my periods?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
Could there be any explanation for why I haven't got my period yet?,"There are many things that can cause you to not get your period, like: Exercising a lot: If you exercise very intensely, it can stop your periods (this is called athletic amenorrhea). Being underweight: If you weigh much less than what's healthy for your height, it can delay or stop your periods. Feeling very stressed: High stress can mess with your hormones and make your periods irregular or stop them altogether. Taking certain medications: Some medicines can interfere with your...",,
Are there any health problems if I don't get my period?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
Are there any health issues that may arise for my wife if she doesn't get her period?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
Is my daughter at risk if she does not get her period?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
Are there any possible health concerns for my sister if she does not get her period?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
"Villagers say that if I don't have regular period cycles, it is not healthy. Is this true?","Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
My family members say that a woman without periods can face health problems. Is it really true?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
"I heard that irregularity with periods can cause health issues, is it right?","Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
I have not had my periods for the last three months. Is there something wrong with my health?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
All my friends get their periods regularly but I am not getting it. Is it a sign of some serious health issue?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
I have never had my period and I am worried about my health. Is it normal or should I consult a doctor?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
Are there any health issues due to lack of menstruation?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
What health problems can occur due to absence of periods?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
Can abstaining from period cause any health issues?,"Yes, if you don't get your period for a long time, it can lead to low levels of a hormone called estrogen. This can: Make it harder to get pregnant. Increase your risk of getting weak bones (osteoporosis). Raise your risk of heart disease. Lead to early menopause and aging.",,
What can I do to get my periods back?,"The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
"My wife hasn't had her periods in a while, what can I do to help her get them back?","The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
What can I do to help my teenage daughter get her periods back?,"The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
"My sister has not had her periods for a while, what can I do to help her get them back?","The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
My village do not have any medical facilities and my periods have stopped for some time. What should I do to get them back?,"The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
I am missing my periods for a few months now and I have no access to medical help. Is there any natural way to kick start my periods?,"The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
"As I live in a village with no medical help, can you please tell me what can I do to get my periods back?","The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
My periods have not started for months and I am very worried about it. What can I do to get it back?,"The best way to get your periods back depends on what's causing the problem in the first place. That's why it's important to see your doctor. They can do some tests and then talk to you about treatment options, which might include: Taking hormones: This can help balance your hormones and restart your periods. Reaching a healthy weight: If you need to, your doctor can help you reach a weight that's healthy for regular periods. Learning to manage stress: There...",,
